id,question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Answers
1,Was ego doing a legal maneuver if its goal is to turn right at the intersection? A. It's legal as the lane is empty. B. It's illegal as the right turn lane is bloacked by construction. C. It's illegal as ego was cutting in other vehicles that were waiting. D. It's legal but the lane ahead is way too narrow for ego to pass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
2,Where can ego legally park on this street? A. No parking anywhere. B. next to right curb. C. anywhere. D. next to left curb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
3,What is the best description of the maneuver ego just did? A. Lane change to the left and then lane change to the right. B. Lane change to the right and then lane change to the left. C. Staying in a lane which curves to the left and then to the right. D. Staying in a lane which curves to the right and then to the left.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
4,Why is ego stopped? A. Judah. B. Traffic Light. C. Someone is crossing the road. D. Construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
5,"What is the blinker state of the oncoming car, with respect to the oncoming car itself? A. LEFT. B. RIGHT. C. BOTH. D. OFF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
6,What is the reason ego changed lanes to the left? A.  Left lane has better views. B. Current lane is exit only. C. Current lane has a lower speed limit. D. Current lane is blocked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
7,What is the correct behavior for ego and why? A. Continue straight in a nominal scenario. B. Slow down for a pedestrian. C. Veer left to avoid an obstacle. D. Veer right to avoid an obstacle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
8,How many flashing traffic light bulbs are there? A. 0. B. 2. C. 4. D. 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
9,Which one if more accurate in terms of the distance from the back of the red car in front to the front bumper of the ego? A. 20m. B. 40m. C. 60m. D. 100m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
10,"Ignoring pedestrian lights, how many traffic lights are relevant to ego? A. 2. B. 4. C. 6. D. 8.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
11,What is the status of the traffic light? A. Solid green. B. Blinking green. C. Solid red. D. Blinking red.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
12,What are the available maneuvers through the intersection for the right most lane? A. Go straight only. B. Turn right only. C. Go straight and turn right. D. None of the above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
